epoch,train_acc,test_acc
0,0.30926,0.417
1,0.47534,0.5253
2,0.58352,0.5825
3,0.66524,0.6702
4,0.72086,0.6943
5,0.76404,0.7489
6,0.78952,0.747
7,0.80888,0.7621
8,0.82034,0.7655
9,0.83024,0.7619
10,0.83694,0.7918
11,0.84404,0.8236
12,0.84966,0.8152
13,0.8525,0.7878
14,0.85694,0.8331
15,0.85834,0.8121
16,0.8652,0.783
17,0.8655,0.8095
18,0.86542,0.8233
19,0.87124,0.8157
20,0.87072,0.8392
21,0.8734,0.8317
22,0.87528,0.7822
23,0.87762,0.8342
24,0.87806,0.8294
25,0.87946,0.8425
26,0.87916,0.8326
27,0.88374,0.841
28,0.87924,0.8429
29,0.88418,0.8179
30,0.88354,0.8724
31,0.88594,0.8362
32,0.88348,0.6841
33,0.8845,0.8678
34,0.8865,0.8012
35,0.88568,0.8468
36,0.88756,0.8318
37,0.88944,0.8345
38,0.88826,0.8429
39,0.88962,0.8313
40,0.89042,0.8315
41,0.8892,0.8421
42,0.89014,0.859
43,0.89162,0.8221
44,0.89084,0.8336
45,0.89142,0.8176
46,0.89452,0.8176
47,0.89122,0.8155
48,0.89252,0.8529
49,0.89164,0.8361
50,0.8924,0.8154
51,0.8926,0.8455
52,0.89178,0.848
53,0.89348,0.8348
54,0.89174,0.8407
55,0.89288,0.8512
56,0.89606,0.8396
57,0.89452,0.8577
58,0.89446,0.8507
59,0.89674,0.8444
60,0.94686,0.9267
61,0.95962,0.9254
62,0.96482,0.9283
63,0.9692,0.9259
64,0.96952,0.9259
65,0.97174,0.929
66,0.97326,0.9258
67,0.97316,0.9072
68,0.97202,0.9252
69,0.97154,0.9243
70,0.9698,0.922
71,0.97088,0.9201
72,0.97156,0.9122
73,0.96988,0.9116
74,0.97116,0.9163
75,0.96898,0.9193
76,0.9703,0.9102
77,0.96806,0.9135
78,0.96996,0.9091
79,0.96984,0.9121
80,0.96872,0.9145
81,0.9705,0.9157
82,0.9677,0.9146
83,0.96818,0.9161
84,0.96938,0.9009
85,0.96902,0.9172
86,0.96806,0.9092
87,0.9686,0.9133
88,0.96918,0.903
89,0.96898,0.9147
90,0.96948,0.914
91,0.96998,0.9033
92,0.96916,0.9063
93,0.96974,0.9022
94,0.9713,0.9167
95,0.96978,0.904
96,0.9681,0.9093
97,0.96958,0.9156
98,0.97228,0.8858
99,0.97042,0.9008
100,0.97032,0.9083
101,0.97162,0.9125
102,0.97222,0.9184
103,0.97154,0.9049
104,0.97078,0.914
105,0.97144,0.9185
106,0.97024,0.9146
107,0.97154,0.9059
108,0.97018,0.9174
109,0.97222,0.9141
110,0.97008,0.914
111,0.97248,0.9097
112,0.97312,0.911
113,0.97222,0.9133
114,0.97288,0.9118
115,0.97318,0.9165
116,0.97082,0.9122
117,0.9729,0.9102
118,0.97392,0.9044
119,0.97162,0.9127
120,0.99148,0.9432
121,0.99638,0.9434
122,0.9971,0.9459
123,0.99778,0.9458
124,0.9983,0.9474
125,0.99848,0.9472
126,0.99904,0.9475
127,0.9988,0.9461
128,0.99908,0.9478
129,0.99932,0.9474
130,0.99938,0.949
131,0.99932,0.9476
132,0.99928,0.9476
133,0.99944,0.9491
134,0.99956,0.9504
135,0.99954,0.9474
136,0.99974,0.9485
137,0.99966,0.9492
138,0.9996,0.9511
139,0.99956,0.9502
140,0.99968,0.9496
141,0.99956,0.9477
142,0.99974,0.9497
143,0.99976,0.949
144,0.9997,0.9495
145,0.9996,0.95
146,0.99982,0.9486
147,0.99976,0.9496
148,0.99976,0.9507
149,0.99984,0.9497
150,0.99992,0.9516
151,0.9999,0.9511
152,0.9998,0.9493
153,0.9998,0.9505
154,0.99976,0.9512
155,0.99984,0.9477
156,0.99988,0.9492
157,0.9999,0.9518
158,0.9998,0.9498
159,0.99992,0.9505
160,0.99976,0.9511
161,0.99988,0.9514
162,0.99996,0.9517
163,0.99994,0.9513
164,0.99988,0.9516
165,0.99984,0.9511
166,0.99992,0.9516
167,0.99988,0.9508
168,0.99996,0.9511
169,0.9999,0.9509
170,0.99998,0.9516
171,0.99994,0.9506
172,0.99998,0.9508
173,0.99994,0.9515
174,0.99996,0.9519
175,0.99996,0.9518
176,0.99998,0.9523
177,0.99994,0.9514
178,0.99992,0.9519
179,0.99998,0.9528
180,0.99996,0.9532
181,0.99998,0.953
182,0.99994,0.9526
183,1.0,0.9521
184,0.99994,0.9517
185,0.99998,0.9529
186,0.99994,0.9525
187,0.99996,0.9516
188,0.99998,0.9517
189,0.99998,0.9516
190,1.0,0.9521
191,0.99998,0.9513
192,0.99998,0.9519
193,1.0,0.9526
194,0.99992,0.9521
195,0.99998,0.9526
196,0.99992,0.9516
197,0.99996,0.9515
198,1.0,0.9516
199,0.99996,0.9522
